,Entity,Meningitis,Neoplasms,Fire heat and hot substances,Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Terrorism,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease
15,Australasia,2658,1470378,4835,0,8606,11592,6736,25275,3225,71873,696,109056,23472,14473,546,5194,1456,4130,94058,55,117559,1667,3152,0,1769839,111553,308813,57725,171961,331,251568,56319
16,Australasia & Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0
17,Australia,1975,1222858,4013,0,6818,9659,6067,23866,2554,57136,497,87541,19243,13171,259,3949,1272,3777,78158,55,100027,1417,2899,16,1441279,94106,251004,50556,146403,288,210624,48085
18,Austria,1151,624487,1553,0,2406,2334,2005,4841,2251,24587,113,34195,5440,11262,336,1495,923,238,46764,30,59349,822,40,9,1031672,56142,85450,60850,105037,98,101351,23665
19,Azerbaijan,4272,263680,14460,32,13279,19861,1152,833,30739,24840,1611,146930,82492,6620,208,17970,4232,2151,9604,5883,44142,2991,1653,258,1026714,29145,57915,78288,102820,1385,25190,7147
20,Bahamas,123,11673,297,0,714,2437,4845,43,242,1750,109,2208,1071,378,107,147,30,170,278,15,3202,36,144,1,18249,2087,1053,1401,2655,9,1167,323
21,Bahrain,113,13174,371,0,384,697,274,59,360,4618,167,1594,2052,116,0,263,17,109,1897,58,9552,58,103,44,25731,2804,3538,2411,3968,106,1014,331
22,Bangladesh,94565,2064155,47594,349375,711802,112401,4434,6583,1441613,249894,314015,2062672,2772388,7907,155003,1579876,4791,702268,260847,3456,597943,15411,599025,933,6123691,282841,1750541,768520,1250266,166599,227497,75527
23,Barbados,134,17932,146,0,348,903,1188,24,70,952,58,3911,885,173,3,171,0,255,398,10,7606,20,175,3,23478,2496,1451,1123,2710,9,2385,597
24,Belarus,2989,631189,24666,0,37908,33747,7361,8320,17232,60793,614,40752,12194,77811,43,814,27053,1775,100504,104,17118,17426,912,14,2310287,12560,131458,61627,118136,775,83681,16259
25,Belgium,1691,921997,4191,0,2770,5780,2996,4941,3692,41391,232,152118,7635,11944,44,15117,1402,7089,68836,165,52810,1637,6141,51,1037826,62771,209375,59178,153724,257,138986,30009
26,Belize,101,5367,107,5,606,1935,1842,21,418,1784,114,2590,2127,175,64,443,0,393,525,54,2757,60,361,3,9582,1791,1324,1151,1902,11,855,205
27,Benin,69978,101713,7791,316834,11517,16162,80892,260,79509,45197,34853,271088,321322,1401,122,196720,1751,44748,14955,31,29925,5654,43399,0,246509,33309,44796,46718,79638,6282,13465,3805
28,Bermuda,10,4156,0,0,72,63,314,33,0,258,0,418,64,30,6,11,0,7,94,0,615,5,0,0,5384,391,400,233,516,0,562,170
29,Bhutan,1565,9634,272,4241,935,282,615,39,5631,2102,1433,8369,15910,158,263,6418,50,867,1120,13,2596,91,665,9,25967,2879,12813,4355,7442,651,1319,451
30,Bolivia,8475,273812,6173,787,17931,17062,18229,1092,80073,58489,20557,224508,155501,8816,1173,45190,669,39396,17950,25,69124,2843,36918,23,336227,78087,76607,68986,131927,961,24922,9852
31,Bosnia and Herzegovina,478,237661,2000,0,2063,3972,91,219,6806,7110,178,12429,7523,5464,41,351,297,117,12940,27414,45187,1887,47,0,500781,15439,37217,20590,38172,161,22273,7552
32,Bosnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0
33,Botswana,3835,42180,2748,662,2608,9718,263306,173,29548,15000,2068,39769,27934,666,35,24860,576,5394,10560,8,20695,1091,5265,6,81565,8749,18118,10592,20318,325,2887,807
